"bahnhof_index","lon","lat"
"551",9.9295345,51.070952
"552",9.5669333,51.3760484
"553",9.4432589,50.3141043
"554",9.6236534,50.3126669
"555",9.1857414,50.9107969
"556",9.4784323,51.3551583
"557",9.4531,51.35941
"558",9.4634508,51.3553337
"559",7.4489732,46.9290164
"560",9.2957251,50.254189
"561",9.9992448,51.15489
"562",9.7218977,50.4832682
"563",9.9927204,50.9457897
"564",9.9426992,50.934964
"565",10.0269501,50.9506559
"566",9.2778774,50.2064402
"567",9.1995077,50.727792
"568",9.2239089,51.0088581
"569",6.9729852,50.4895816
"570",7.1071493,50.545977
"571",7.1197177,50.541815
"572",7.0212734,50.5230699
"573",7.6396409,50.6852326
"574",7.4040482,50.4344966
"575",7.2487022,50.5426993
"576",7.3048956,50.5041859
"577",7.7283419,50.3281219
"578",7.7064946,50.3318449
"579",9.9534217,52.1591021
"580",7.1441481,50.5473787
"581",7.9700776,50.3465542
"582",NA,NA
"583",8.0055243,50.5400181
"584",7.8703818,50.7893212
"585",7.5862381,50.2316419
"586",7.5941871,50.2299866
"587",7.58853,50.2311996
"588",7.5239879,50.2271193
"589",7.5879676,50.2138001
"590",7.6469574,50.1756621
"591",7.943385,50.8254866
"592",7.6433826,50.2742035
"593",7.6608873,50.7535417
"594",NA,NA
"595",7.8961031,50.623894
"596",7.1373784,50.0543435
"597",7.1669652,50.1527027
"598",7.7615896,50.3289501
"599",7.04339,50.5344074
"600",7.7844122,50.4565575
"601",8.016054,50.3706368
"602",8.0373023,50.3782206
"603",7.9583774,50.4496153
"604",7.1570768,50.0955309
"605",7.5701013,50.1751671
"606",7.55983,50.15667
"607",7.4664546,50.4361866
"608",7.8832277,50.6155602
"609",7.2392298,50.5846305
"610",7.6883242,50.7812236
"611",NA,NA
